tay,vietnamese
bại séc dú chang hòm noọng hăn mí?,đống sách ở trong hòm em thấy không?
bảc hăn chang cần pện rừ?,bác thấy trong người thế nào?
"ầu, lan ngám mà.","vâng, cháu vừa về."
khỏi cạ nghé lăng bố đây lỏ?,tôi nói cái gì không đúng à?
ché slự bâư slửa tầư?,chị mua cái áo nào?
tua lục cúa mầu chắc pây bắn?,con bé nhà mày biết đi chưa?
bươn nảy chài pây họp rụ bấu pây họp?,tháng này anh đi họp hay không đi họp?
"bại cần cạ mầư ái au me, le cần tầư dế?","mọi người nói mày sắp lấy vợ, là ai vậy?"
tỉ slườn dấu dụp dú khỏ nỏ?,nền nhà ẩm ướt khó chịu nhỉ?
ò đếch lục mầư pây slon slư xằng pây slon slư?,thằng bé con mày đi học chưa đi học?
slon tiếng tày khỏ bấu?,học tiếng tày khó không?
ché slự nghé lăng?,chị mua gì?
dú bản mầư táng dân tộc táng dú rụ cạ slổng xen căn?,ở bản mày từng dân tộc khác sống hay sống xen lẫn nhau?
vằn pjục phạ đét bấu đét?,ngày mai trời nắng không nắng?
mầư phuối nghé lăng mà khỏ tỉnh pện dể?,mày nói cái gì mà khó nghe thế này?
mầư pây tầư?,mày đi đâu?
vằn nảy mẻm ăn lỏ?,hôm nay trúng lớn đấy nhỉ?
hăn đài cạ ít them phạ phân a?,nghe đài báo tý nữa trời mưa à?
tiểng tày nùng boong hây chàu mì rụ bấu?,tiếng tày nùng chúng mình phong phú hay không?
bại cần dú bản mầư đoàn kết rụ cạ bấu đoàn kết tồng căn?,mọi người trong bản mày đoàn kết hay là không đoàn kết với nhau?
kỉ lai giờ dá?,mấy giờ rồi?
mầư au me pửa tầư nỏ?,mày lấy vợ lúc nào nhỉ?
mầư dú slườn ngòi noọng rụ cạ pây ẻo bắp?,mày ở nhà trông em hay đi bẻ ngô?
bảc phuối pện nảy mà tỉnh đảy a?,bác nói thế này mà nghe được à?
bại mầu pây đông cặn lai á?,bọn mày đi đông thế á?
pú hử lan pây khửn đông đuổi nớ?,ông cho cháu lên rừng với nhé?
boỏng tàng bung bap lai nỏ?,đoạn đường gập ghềnh quá nhỉ?
"phạ lai đao dí pện nảy, vằn pjục xẹ đét lai nỏ?","trời nhiều sao thế này, ngày mai sẽ nắng lắm nhỉ?"
lan ngám pây slon slư mà lỏ?,cháu mới đi học về à?
te cạ bại cần mí pang chỏi te a?,nó bảo mọi người không giúp nó à?
lan hằng ca nảy hất lăng nẹ?,cháu hằng dạo này làm gì vậy?
lục đang nhắng lai mé.,con đang bận mà mẹ.
chử dá.,đúng rồi.
mầư hăn vài nắm lỏ?,mày thấy trâu chưa đấy?
"dú đại học, ché slon tiểng anh, tiểng pháp rụ tiểng hán?","học đại học chị học tiếng anh, tiếng pháp hay tiếng hán?"
bấu chử náu.,không phải đâu.
chử á.,đúng thế.
"tỉnh tầu le_ loại nhạc cụ truyền thống cúa cần tày, cần nùng rụ cạ cần keo?","đàn tính là loại nhạc cụ truyền thống của dân tộc tày, dân tộc nùng hay dân tộc kinh?"
ché tạy noọng slan phưa mà?,chị dạy em đan lát nhé?
ché pây cao bằng rụ mí pây cao bằng?,chị đi cao bằng hay không đi cao bằng?
ché pây mí pây cao bằng?,chị đi không đi cao bằng?
"lục dú slườn ngòi noọng, mí đảy pây liểu nớ?","con ở nhà trông em, không được đi chơi đâu nhé?"
cặn nảy mầư nắm pây slon slư lỏ?,thế mày không đi học à?
ché slự bâư slử khao tầư?,chị mua cái áo màu trắng nào?
ái kin mạy lỏ?,muốn ăn đòn hả?
ché pây cao bằng rụ mí?,chị đi cao bằng hay không?
slon đại học khỏ lai vỏ?,học đại học khó nhỉ?
pây háng bấu?,đi chợ không?
bó nặm dú tỉ hâư?,giếng nước ở chỗ nào?
"lan pây slon đại học dú thái nguyên đảy slam pi dá, pi nưng le đảy mừa dá né?","cháu học đại học ở thái nguyên được ba năm rồi, một năm nữa là được về rồi đấy nhỉ?"
te đang pây tầư?,nó đang đi đâu?
phạ lai đao đí pện nảy tọ phân đảy vỏ?,trời nhiều sao thế này mà mưa được sao?
"pí lồng bản tẩư, dắp them khỏi mà vạ noọng nớ!","chị xuống bản dưới, tẹo nữa chị về nhé!"
bấu pây náo á?,không đi á?
trường slon pạng tầư?,trường học ở phía nào?
bản bảc nhằng mì cần chắc lượn mí?,bản bác còn có người biết hát lượn không?
bản bảc láo lúng mì kỉ lai slườn?,bản bác có tất cả bao nhiêu nhà?
pí chài mì lục xằng?,anh chị có cháu chưa?
cần cao bằng điếp khách mí điếp?,người cao bằng mến khác không mến khách?
slườn pí mì kỉ tua vài?,nhà chị có mấy con trâu?
đây slao nỏ?,đẹp mặt nhỉ?
slon pện nảy lỏ?,học thế hả?
chài pây au fừn dú tầư?,anh lấy củi ở đâu?
tua nhung chả lả.,cái nhung à?
"slíp ất giờ dá, mầư nhằng mừa lỏ?","mười một giờ rồi, mày chưa về hả?"
"vằn phjục ché pây thị xạ, noọng pây mà?",ngày mai chị đi thị xã em đi theo nhé?
moóc bân tẳm tầư mà?,mây bay từ đâu tới?
ăn mừ pền lăng chắng rẻo poọc pện tỷ à?,cái tay làm sao mà buộc như này vậy?
háng dú huyện lầu kỉ vằn mì pan?,chợ huyện mình mấy ngày có một phiên?
vài eng kỉ lai pi chắng thư nà đảy?,trâu bé bao nhiêu tuổi thì cày ruộng được?
"pá mé cạ noọng hất khẩu, noọng hất páy?","bố mẹ dặn em nấu cơm, em nấu chưa?"
tẳm tầu moóc bân mà?,từ đâu mây bay tới?
"pửa cón đồng bào đạ đoàn kết tức nhật, tức tây. cạ này lèo đoàn kết hẩư dân hây chàu mì nước hây sleng them. đồng bào hất đảy bấu?","năm ngoái đồng bào đã đoàn kết đánh nhật, đánh tây. năm nay lại đoàn kết cho dân giàu nước mạnh hơn. đồng bào có làm được không?"
pả pây hâu dế?,bá đi đâu đấy?
kin ngài xằng?,ăn cơm trưa chưa?
ché pây thây nà lỏ?,chị đi cày à?
"linh à, pửa tầư mầư chắng hử câu kin lẩu nỏ?","linh à, bao giờ mày mới cho tao ăn cỗ cưới chứ?"
pá kin ngày đuổi lan a?,bá ăn cơm với cháu nhé?
bại séc dú chang hòm noọng hăn mí hăn?,đống sách ở trong hòm em thấy không thấy?
dú noọc táng mì chàn mỏ?,bên ngoài có sàn phơi chứ?
nước việt nam boong hây mì kỉ lai dân tộc slinh sổng?,nước việt nam chúng ta có bao nhiêu dân tộc sinh sống?
nhoòng lăng mầư bấu pây slon slư?,làm sao mày không đi học?
"pí ơi, vằn nẩy mầư kin ngài vạ nghé lăng?","chị ơi, hôm nay mày ăn cơm với món gì?"
"bấu sử náu, ché pây lườm fừn.","không phải đâu, chị đi lấy củi."
"khẩu thâng rườn cọn lếch hăn phầy lủng rường, pé moòng phò phò.","vào nhà thợ rèn thấy lửa hồng rực, khói bay nghi ngút."
"mí, pỉ lùa pây thây nà né.","không, chị dâu đi cày thôi."
ché pây cao bằng chử bấu?,chị đi cao bằng phải không?
pì noọng pây hâư thuổn za?,anh em đâu hết rồi?
vằn nẩy pì noọng pây hết fiệc dú tầư?,hôm nay anh em đi làm việc ở đâu?
mầư nhằng dú nảy a?,mày còn ở đây à?
nặm khuổi bốc noòng thất thường lai.,nước suối dâng lên xuống thất thường lắm.
"khảu bươn slí, pi ất xiên cẩu pác slí síp hốc.",vào tháng 4 năm 1946.
"nắm chắc lớ, noọng nhằng ón lai.","không biết đâu, em còn trẻ mà."
vằn tầư bại lục đếch pây slon slư?,hôm nào bọn trẻ con đi học?
sương căn lỉt rườn ngọa mùng gà,yêu nhau tháo ngói lợp gianh
mạy mác khửn kheo ứt.,cây cối xanh tốt.
hết nghề lăng tố cẩn diếu pền căn.,làm nghề gì cũng cần có sản phẩm.
pì noọng pây hầư nhín mí xùa noọng pây đuố?,anh em đi đâu chơi không rủ em đi với?
khỏ lai ái hết công nhân.,"khó lắm, muốn làm công nhân."
mầư hăn pi nả đảy hết pền lăng?,mày thấy năm tới được làm thế nào?
mầư chắc pươi tiểng tày lai xằng?,mày biết nói tiếng tày nhiều chưa?
tua lục cúa mầu chắc pây bắn xằng?,con bé nhà mày biết đi chưa?
đét cải hết fiệc khỏ lai.,nắng to thì làm việc vất vả lắm.
slon tiếng tày khỏ bấu khỏ?,học tiếng tày khó không khó?
hất dá.,làm rồi.
pây tàng luông mì lai xe.,đi đường lớn có nhiều xe.
tua lục cúa mầu chắc pây bắn chắc pây?,con bé nhà mày biết đi chưa biết đi?
mầư nắt mí?,mày thích không?
nhoòng lăng lan xằng hử bảc kin lẩu?,vì sao cháu vẫn chưa cho bác ăn cưới?
nhoòng chấp lai.,vì đau quá.
na lỏ? dú slườn chả lá?,na hả? ở nhà chứ?
dú tầư le_ slườn cúa noọng?,đâu là nhà của em?
hết ỏn,làm nũng
